Gene_Name,domains,name
NR5A1,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
JSRP1,,
CLN3,,
ABCC13,,
PLD5,"['IPR001736', 'IPR032803']","['Phospholipase D/Transphosphatidylase', 'PLD-like domain']"
CLDN22,,
C3orf56,,
C12orf76,,
CNTD1,,
EFCC1,['IPR002048'],['EF-hand domain']
NSMCE2,['IPR004181'],"['Zinc finger, MIZ-type']"
,['IPR004181'],"['Zinc finger, MIZ-type']"
,['IPR004181'],"['Zinc finger, MIZ-type']"
RSAD1,['IPR004181'],"['Zinc finger, MIZ-type']"
TMEM99,['IPR004181'],"['Zinc finger, MIZ-type']"
PPM1N,"['IPR001932', 'IPR012911']","['PPM-type phosphatase domain', 'Protein serine/threonine phosphatase 2C, C-terminal']"
ANKS6,['IPR001660'],['Sterile alpha motif domain']
PLA2G4F,"['IPR002642', 'IPR040723']","['Lysophospholipase, catalytic domain', 'Cytosolic phospholipases A2, C2-domain']"
SLAMF1,"['IPR007110', 'IPR010407']","['Immunoglobulin-like domain', 'Signaling lymphocytic activation molecule, N-terminal']"
CCDC140,"['IPR007110', 'IPR010407']","['Immunoglobulin-like domain', 'Signaling lymphocytic activation molecule, N-terminal']"
COQ10A,,
,,
SCGB2A2,,
STAC3,['IPR001452'],['SH3 domain']
STPG4,,
ZNF512,['IPR013087'],['Zinc finger C2H2-type']
FHAD1,['IPR000253'],['Forkhead-associated (FHA) domain']
UBR7,['IPR003126'],"['Zinc finger, UBR-type']"
CERS4,"['IPR001356', 'IPR006634']","['Homeobox domain', 'TRAM/LAG1/CLN8 homology domain']"
MRGPRE,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
SLC35G3,['IPR000620'],['EamA domain']
PDILT,['IPR013766'],['Thioredoxin domain']
MRGPRG,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
RTL5,['IPR032549'],['Domain of unknown function DUF4939']
NHSL2,,
KLRF2,,
C1orf112,,
POMZP3,['IPR001507'],['Zona pellucida domain']
CARS2,['IPR032678'],"['tRNA synthetases class I, catalytic domain']"
FBXL18,['IPR001810'],['F-box domain']
ZNF322,,
C1orf196,,
CALHM2,,
FAM86B1,,
C9orf85,,
FMN1,['IPR015425'],"['Formin, FH2 domain']"
MUC3A,"['IPR000082', 'IPR000742']","['SEA domain', 'EGF-like domain']"
C12orf66,"['IPR000082', 'IPR000742']","['SEA domain', 'EGF-like domain']"
RHBDF2,['IPR022764'],"['Peptidase S54, rhomboid domain']"
TBC1D17,"['IPR000195', 'IPR021935']","['Rab-GTPase-TBC domain', 'Small G protein signalling modulator 1/2, Rab-binding domain']"
OC90,"['IPR016090', 'IPR041798']","['Phospholipase A2 domain', 'Otoconin-90, phospholipase A2-like domain']"
CES4A,['IPR002018'],"['Carboxylesterase, type B']"
ITSN1,"['IPR000008', 'IPR000219', 'IPR000261', 'IPR001452', 'IPR001849', 'IPR002048']","['C2 domain', 'Dbl homology (DH) domain', 'EH domain', 'SH3 domain', 'Pleckstrin homology domain', 'EF-hand domain']"
CX3CL1,"['IPR001811', 'IPR034127']","['Chemokine interleukin-8-like domain', 'CX3C chemokine domain']"
POU6F2,"['IPR000327', 'IPR001356']","['POU-specific domain', 'Homeobox domain']"
PPP3R2,['IPR002048'],['EF-hand domain']
NPEPPS,"['IPR014782', 'IPR024571']","['Peptidase M1, membrane alanine aminopeptidase', 'ERAP1-like C-terminal domain']"
NKX6-1,"['IPR001356', 'IPR020479']","['Homeobox domain', 'Homeobox domain, metazoa']"
MAGEB10,"['IPR002190', 'IPR021072']","['MAGE homology domain', 'Melanoma associated antigen, N-terminal']"
TMEM196,"['IPR002190', 'IPR021072']","['MAGE homology domain', 'Melanoma associated antigen, N-terminal']"
TBCC,"['IPR006599', 'IPR012945', 'IPR017901']","['CARP motif', 'Tubulin binding cofactor C-like domain', 'C-CAP/cofactor C-like domain']"
TBCE,['IPR000626'],['Ubiquitin-like domain']
UBE2V2,['IPR000608'],['Ubiquitin-conjugating enzyme E2']
HLA-B,['IPR000608'],['Ubiquitin-conjugating enzyme E2']
GSTM2,"['IPR004045', 'IPR004046', 'IPR010987']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal', 'Glutathione S-transferase, C-terminal-like']"
NPTX1,,
HLA-B,,
HLA-B,,
TRAT1,,
CBLL2,"['IPR001841', 'IPR040380', 'IPR041042']","['Zinc finger, RING-type', 'HAKAI-like, RING finger, HC subclass', 'Hakai, C2H2 zinc finger domain']"
HLA-B,"['IPR001841', 'IPR040380', 'IPR041042']","['Zinc finger, RING-type', 'HAKAI-like, RING finger, HC subclass', 'Hakai, C2H2 zinc finger domain']"
HLA-B,"['IPR001841', 'IPR040380', 'IPR041042']","['Zinc finger, RING-type', 'HAKAI-like, RING finger, HC subclass', 'Hakai, C2H2 zinc finger domain']"
RMDN2,,
HLA-B,,
HLA-B,,
GFER,['IPR017905'],['ERV/ALR sulfhydryl oxidase domain']
HLA-A,['IPR017905'],['ERV/ALR sulfhydryl oxidase domain']
ID1,,
HLA-A,,
HLA-B,,
HLA-B,,
SLC22A11,['IPR020846'],['Major facilitator superfamily domain']
IGLV3-21,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
ZC3H12B,"['IPR000571', 'IPR040546', 'IPR040757']","['Zinc finger, CCCH-type', 'Rege-1, UBA-like domain', 'Endoribonuclease Regnase 1/ZC3H12, C-terminal domain']"
FGF21,,
KCND1,"['IPR000210', 'IPR021645']","['BTB/POZ domain', 'Shal-type voltage-gated potassium channels, N-terminal']"
CTNNBIP1,['IPR009428'],['Beta-catenin-interacting ICAT domain']
LYSMD4,,
CHRNA2,"['IPR006029', 'IPR006202']","['Neurotransmitter-gated ion-channel transmembrane domain', 'Neurotransmitter-gated ion-channel ligand-binding domain']"
IRX6,"['IPR001356', 'IPR003893']","['Homeobox domain', 'Iroquois-class homeodomain protein']"
IRX4,"['IPR001356', 'IPR003893', 'IPR008422']","['Homeobox domain', 'Iroquois-class homeodomain protein', 'Homeobox KN domain']"
KLF8,,
HLA-B,,
IRX1,"['IPR001356', 'IPR003893', 'IPR008422']","['Homeobox domain', 'Iroquois-class homeodomain protein', 'Homeobox KN domain']"
CCDC74B,['IPR039496'],"['CCDC92/74, coiled-coil domain']"
IRX3,"['IPR003893', 'IPR008422']","['Iroquois-class homeodomain protein', 'Homeobox KN domain']"
HNRNPH2,['IPR000504'],['RNA recognition motif domain']
CHRNA6,"['IPR006029', 'IPR006202']","['Neurotransmitter-gated ion-channel transmembrane domain', 'Neurotransmitter-gated ion-channel ligand-binding domain']"
BTN3A2,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
POLR1A,"['IPR000722', 'IPR006592', 'IPR007066', 'IPR007080', 'IPR007081', 'IPR007083']","['RNA polymerase, alpha subunit', 'RNA polymerase, N-terminal', 'RNA polymerase Rpb1, domain 3', 'RNA polymerase Rpb1, domain 1', 'RNA polymerase Rpb1, domain 5', 'RNA polymerase Rpb1, domain 4']"
IRX5,"['IPR001356', 'IPR008422']","['Homeobox domain', 'Homeobox KN domain']"
RRN3P2,,
CST6,['IPR000010'],['Cystatin domain']
PRSS29P,['IPR001254'],"['Serine proteases, trypsin domain']"
HLA-B,['IPR001254'],"['Serine proteases, trypsin domain']"
GSTO1,"['IPR004045', 'IPR004046', 'IPR010987']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal', 'Glutathione S-transferase, C-terminal-like']"
TMEM217,,
TRIML2,"['IPR001870', 'IPR003877', 'IPR003879', 'IPR006574']","['B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'SPRY-associated']"
PPP2CA,"['IPR004843', 'IPR006186']","['Calcineurin-like phosphoesterase domain, ApaH type', 'Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase']"
RNF148,"['IPR001841', 'IPR003137']","['Zinc finger, RING-type', 'PA domain']"
HLA-B,"['IPR001841', 'IPR003137']","['Zinc finger, RING-type', 'PA domain']"
PISD,,
CT45A1,,
HLA-A,,
KRT84,"['IPR032444', 'IPR039008']","['Keratin type II head', 'Intermediate filament, rod domain']"
KRT82,"['IPR032444', 'IPR039008']","['Keratin type II head', 'Intermediate filament, rod domain']"
STXBP2,,
CFAP53,,
KCNJ12,"['IPR013673', 'IPR040445']","['Potassium channel, inwardly rectifying, Kir, N-terminal', 'Potassium channel, inwardly rectifying, transmembrane domain']"
STK11,"['IPR000719', 'IPR039154']","['Protein kinase domain', 'Serine/Threonine kinase LKB1, catalytic domain']"
HOMER2,['IPR000697'],['WH1/EVH1 domain']
TMEM215,,
NOS3,"['IPR001094', 'IPR001433', 'IPR001709', 'IPR003097', 'IPR004030', 'IPR008254', 'IPR017927']","['Flavodoxin-like', 'Oxidoreductase FAD/NAD(P)-binding', 'Flavoprotein pyridine nucleotide cytochrome reductase', 'Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding', 'Nitric oxide synthase, N-terminal', 'Flavodoxin/nitric oxide synthase', 'FAD-binding domain, ferredoxin reductase-type']"
VAMP3,,
NOS1,"['IPR001094', 'IPR001433', 'IPR001478', 'IPR001709', 'IPR003097', 'IPR004030', 'IPR008254', 'IPR017927']","['Flavodoxin-like', 'Oxidoreductase FAD/NAD(P)-binding', 'PDZ domain', 'Flavoprotein pyridine nucleotide cytochrome reductase', 'Sulfite reductase [NADPH] flavoprotein alpha-component-like, FAD-binding', 'Nitric oxide synthase, N-terminal', 'Flavodoxin/nitric oxide synthase', 'FAD-binding domain, ferredoxin reductase-type']"
GRK1,"['IPR000719', 'IPR000961', 'IPR016137', 'IPR037716']","['Protein kinase domain', 'AGC-kinase, C-terminal', 'RGS domain', 'Rhodopsin kinase, catalytic domain']"
CCDC85B,"['IPR000719', 'IPR000961', 'IPR016137', 'IPR037716']","['Protein kinase domain', 'AGC-kinase, C-terminal', 'RGS domain', 'Rhodopsin kinase, catalytic domain']"
PCNT,,
CCDC17,,
FGD4,"['IPR000219', 'IPR017455', 'IPR035941', 'IPR037742']","['Dbl homology (DH) domain', 'Zinc finger, FYVE-related', 'FGD1-4, C-terminal PH domain', 'FGD4, N-terminal PH domain']"
HLA-B,"['IPR000219', 'IPR017455', 'IPR035941', 'IPR037742']","['Dbl homology (DH) domain', 'Zinc finger, FYVE-related', 'FGD1-4, C-terminal PH domain', 'FGD4, N-terminal PH domain']"
WFDC2,['IPR008197'],"[""WAP-type 'four-disulfide core' domain""]"
HLA-B,['IPR008197'],"[""WAP-type 'four-disulfide core' domain""]"
EDDM3A,['IPR023412'],['Ribonuclease A-domain']
ZNF597,['IPR001909'],['Krueppel-associated box']
HLA-B,['IPR001909'],['Krueppel-associated box']
PACRG,['IPR001909'],['Krueppel-associated box']
LRRC52,['IPR000372'],['Leucine-rich repeat N-terminal domain']
ADAD1,['IPR002466'],['Adenosine deaminase/editase']
HLA-B,['IPR002466'],['Adenosine deaminase/editase']
CCDC42,['IPR025252'],['Domain of unknown function DUF4200']
KLHL15,,
HLA-B,,
ABCF2,"['IPR003439', 'IPR003593', 'IPR032781']","['ABC transporter-like', 'AAA+ ATPase domain', 'ABC-transporter extension domain']"
PACRGL,,
CCDC138,,
ZSCAN31,['IPR003309'],['SCAN domain']
LCAT,,
OAT,,
EFCAB3,['IPR002048'],['EF-hand domain']
COQ5,,
TK1,,
YEATS4,,
SALL1,['IPR013087'],['Zinc finger C2H2-type']
HOMER3,['IPR000697'],['WH1/EVH1 domain']
HLA-A,['IPR000697'],['WH1/EVH1 domain']
FGFBP1,,
ST6GALNAC1,,
ADCY5,"['IPR001054', 'IPR009398', 'IPR032628']","['Adenylyl cyclase class-3/4/guanylyl cyclase', 'Adenylate cyclase, conserved domain', 'Adenylate cyclase, N-terminal']"
NEDD8,"['IPR000626', 'IPR019956', 'IPR038738']","['Ubiquitin-like domain', 'Ubiquitin domain', 'Nedd8-like ubiquitin']"
HLA-A,"['IPR000626', 'IPR019956', 'IPR038738']","['Ubiquitin-like domain', 'Ubiquitin domain', 'Nedd8-like ubiquitin']"
KCNJ8,['IPR041647'],"['Inward rectifier potassium channel, C-terminal']"
NEDD9,"['IPR001452', 'IPR014928', 'IPR021901', 'IPR035746']","['SH3 domain', 'Serine rich protein interaction domain', 'CAS family, C-terminal', 'Enhancer of filamentation 1, SH3 domain']"
DUS4L,,
HLA-A,,
ZBTB11,"['IPR000210', 'IPR041588']","['BTB/POZ domain', 'Integrase zinc-binding domain']"
SH3D19,"['IPR001452', 'IPR035834', 'IPR035835']","['SH3 domain', 'SH3 domain-containing protein 19, SH3 domain 1', 'SH3 domain-containing protein 19, SH3 domain 3']"
FAT1,"['IPR000742', 'IPR001791', 'IPR001881', 'IPR002126']","['EGF-like domain', 'Laminin G domain', 'EGF-like calcium-binding domain', 'Cadherin-like']"
ADIPOQ,['IPR001073'],['C1q domain']
ANP32D,,
ADIRF,,
DENND2C,"['IPR001194', 'IPR005112', 'IPR005113', 'IPR037516']","['cDENN domain', 'dDENN domain', 'uDENN domain', 'Tripartite DENN domain']"
CLUL1,"['IPR016014', 'IPR016015']","['Clusterin, N-terminal', 'Clusterin, C-terminal']"
ZNF667,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
SPARCL1,"['IPR002048', 'IPR002350', 'IPR003645', 'IPR015369', 'IPR019577']","['EF-hand domain', 'Kazal domain', 'Follistatin-like, N-terminal', 'Follistatin/Osteonectin EGF domain', 'SPARC/Testican, calcium-binding domain']"
DNHD1,"['IPR004273', 'IPR024317', 'IPR035699', 'IPR041228', 'IPR041466']","['Dynein heavy chain region D6 P-loop domain', 'Dynein heavy chain, AAA module D4', 'Dynein heavy chain, hydrolytic ATP-binding dynein motor region', 'Dynein heavy chain, C-terminal domain', 'Dynein heavy chain, AAA 5 extension domain']"
,"['IPR004273', 'IPR024317', 'IPR035699', 'IPR041228', 'IPR041466']","['Dynein heavy chain region D6 P-loop domain', 'Dynein heavy chain, AAA module D4', 'Dynein heavy chain, hydrolytic ATP-binding dynein motor region', 'Dynein heavy chain, C-terminal domain', 'Dynein heavy chain, AAA 5 extension domain']"
PAPD4,,
HLA-A,,
CARD19,['IPR042146'],"['BinCARD, CARD domain']"
SLC14A2,,
C1orf228,,
SGK494,['IPR000719'],['Protein kinase domain']
ZNF354B,"['IPR013087', 'IPR041697']","['Zinc finger C2H2-type', 'Zinc-finger C2H2-type 11']"
HLA-A,"['IPR013087', 'IPR041697']","['Zinc finger C2H2-type', 'Zinc-finger C2H2-type 11']"
HORMAD2,,
PRIMPOL,,
CCDC7,,
HLA-A,,
IL2RG,"['IPR003961', 'IPR015321']","['Fibronectin type III', 'Type I cytokine receptor, cytokine-binding domain']"
KLHDC1,"['IPR003961', 'IPR015321']","['Fibronectin type III', 'Type I cytokine receptor, cytokine-binding domain']"
FER1L6-AS2,"['IPR003961', 'IPR015321']","['Fibronectin type III', 'Type I cytokine receptor, cytokine-binding domain']"
,"['IPR003961', 'IPR015321']","['Fibronectin type III', 'Type I cytokine receptor, cytokine-binding domain']"
UNC119B,['IPR008015'],"['GMP phosphodiesterase, delta subunit']"
TBC1D29,['IPR000195'],['Rab-GTPase-TBC domain']
HRG,['IPR000010'],['Cystatin domain']
CNOT4,"['IPR000571', 'IPR001841', 'IPR003954', 'IPR034261', 'IPR039515']","['Zinc finger, CCCH-type', 'Zinc finger, RING-type', 'RNA recognition motif domain, eukaryote', 'CNOT4, RNA recognition motif', 'NOT4, modified RING finger, HC subclass (C4C4-type)']"
HABP2,"['IPR000001', 'IPR000742', 'IPR001254', 'IPR001881']","['Kringle', 'EGF-like domain', 'Serine proteases, trypsin domain', 'EGF-like calcium-binding domain']"
MYCN,"['IPR011598', 'IPR012682']","['Myc-type, basic helix-loop-helix (bHLH) domain', 'Transcription regulator Myc, N-terminal']"
,"['IPR011598', 'IPR012682']","['Myc-type, basic helix-loop-helix (bHLH) domain', 'Transcription regulator Myc, N-terminal']"
ZNF275,['IPR013087'],['Zinc finger C2H2-type']
PAPD7,"['IPR002058', 'IPR002934']","['PAP/25A-associated', 'Polymerase, nucleotidyl transferase domain']"
SLC6A13,,
SCN5A,"['IPR005821', 'IPR010526', 'IPR024583']","['Ion transport domain', 'Sodium ion transport-associated', 'Voltage-gated Na+ ion channel, cytoplasmic domain']"
FSTL3,"['IPR002350', 'IPR003645', 'IPR015369', 'IPR017878']","['Kazal domain', 'Follistatin-like, N-terminal', 'Follistatin/Osteonectin EGF domain', 'TB domain']"
STAMBP,"['IPR000555', 'IPR015063', 'IPR037518']","['JAB1/MPN/MOV34 metalloenzyme domain', 'USP8 dimerisation domain', 'MPN domain']"
USF2,['IPR011598'],"['Myc-type, basic helix-loop-helix (bHLH) domain']"
NTN1,"['IPR001134', 'IPR002049', 'IPR008211', 'IPR018933']","['Netrin domain', 'Laminin EGF domain', 'Laminin, N-terminal', 'Netrin module, non-TIMP type']"
HLTF,"['IPR000330', 'IPR001841', 'IPR014001', 'IPR014905']","['SNF2-related, N-terminal domain', 'Zinc finger, RING-type', 'Helicase superfamily 1/2, ATP-binding domain', 'HIRAN domain']"
SCN9A,"['IPR005821', 'IPR010526', 'IPR024583']","['Ion transport domain', 'Sodium ion transport-associated', 'Voltage-gated Na+ ion channel, cytoplasmic domain']"
HIC1,['IPR013087'],['Zinc finger C2H2-type']
ESPN,"['IPR003124', 'IPR020683']","['WH2 domain', 'Ankyrin repeat-containing domain']"
GVQW1,"['IPR003124', 'IPR020683']","['WH2 domain', 'Ankyrin repeat-containing domain']"
KRT33B,,
ANKRD23,,
BCL6,"['IPR000210', 'IPR013087']","['BTB/POZ domain', 'Zinc finger C2H2-type']"
AQP2,,
CASR,"['IPR001828', 'IPR011500', 'IPR017978']","['Receptor, ligand binding region', 'GPCR, family 3, nine cysteines domain', 'GPCR family 3, C-terminal']"
LYG2,,
NEK8,['IPR000719'],['Protein kinase domain']
S100A7A,"['IPR002048', 'IPR013787', 'IPR034325']","['EF-hand domain', 'S100/CaBP-9k-type, calcium binding, subdomain', 'S-100']"
HMGN2P46,"['IPR002048', 'IPR013787', 'IPR034325']","['EF-hand domain', 'S100/CaBP-9k-type, calcium binding, subdomain', 'S-100']"
DAZ4,,
IFT172,,
CPSF4,"['IPR000571', 'IPR001878', 'IPR041686']","['Zinc finger, CCCH-type', 'Zinc finger, CCHC-type', 'Zinc-finger CCCH domain']"
PSMD2,"['IPR040892', 'IPR041433']","['RPN1, N-terminal', '26S proteasome non-ATPase regulatory subunit RPN1, C-terminal']"
MYBPH,"['IPR003598', 'IPR003599', 'IPR003961', 'IPR007110', 'IPR013098']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Fibronectin type III', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
SQLE,['IPR013698'],['Squalene epoxidase']
NFATC1,"['IPR002909', 'IPR011539', 'IPR032397']","['IPT domain', 'Rel homology domain (RHD), DNA-binding domain', 'Rel homology dimerisation domain']"
KRT81,['IPR039008'],"['Intermediate filament, rod domain']"
MMRN1,"['IPR000742', 'IPR001073', 'IPR001881', 'IPR011489']","['EGF-like domain', 'C1q domain', 'EGF-like calcium-binding domain', 'EMI domain']"
KRT32,['IPR039008'],"['Intermediate filament, rod domain']"
DUSP8,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
TNS3,"['IPR000980', 'IPR003595', 'IPR006020', 'IPR013625', 'IPR014020', 'IPR029023', 'IPR035012']","['SH2 domain', 'Protein-tyrosine phosphatase, catalytic', 'PTB/PI domain', 'Tensin/EPS8 phosphotyrosine-binding domain', 'Tensin phosphatase, C2 domain', 'Tensin-type phosphatase domain', 'Tensin-like, SH2 domain']"
TBX2,['IPR022582'],"['Transcription factor, T-box, region of unknown function']"
DDX10,"['IPR001650', 'IPR014001', 'IPR014014', 'IPR025313']","['Helicase, C-terminal', 'Helicase superfamily 1/2, ATP-binding domain', 'RNA helicase, DEAD-box type, Q motif', 'Domain of unknown function DUF4217']"
HAUS3,['IPR032733'],"['HAUS augmin-like complex subunit 3, N-terminal']"
LINC01465,['IPR032733'],"['HAUS augmin-like complex subunit 3, N-terminal']"
RPGRIP1L,"['IPR000008', 'IPR021656']","['C2 domain', 'RPGR-interacting protein 1, first C2 domain']"
PAF1,,
DMRTC1B,,
FAM90A20P,['IPR041670'],['Zinc knuckle']
GALNT7,"['IPR000772', 'IPR001173']","['Ricin B, lectin domain', 'Glycosyltransferase 2-like']"
ETV3,,
OR6C70,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
FAM198A,,
SLC29A2,,
HNF4G,"['IPR000536', 'IPR001628']","['Nuclear hormone receptor, ligand-binding domain', 'Zinc finger, nuclear hormone receptor-type']"
SEMA3B,"['IPR001627', 'IPR003599', 'IPR007110', 'IPR013151', 'IPR016201']","['Sema domain', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin', 'PSI domain']"
CCDC102B,"['IPR001627', 'IPR003599', 'IPR007110', 'IPR013151', 'IPR016201']","['Sema domain', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin', 'PSI domain']"
GBX1,"['IPR001356', 'IPR020479']","['Homeobox domain', 'Homeobox domain, metazoa']"
NCR3LG1,"['IPR003597', 'IPR003599', 'IPR007110']","['Immunoglobulin C1-set', 'Immunoglobulin subtype', 'Immunoglobulin-like domain']"
PAPPA,"['IPR000436', 'IPR000800', 'IPR006558', 'IPR008754']","['Sushi/SCR/CCP domain', 'Notch domain', 'LamG-like jellyroll fold', 'Peptidase M43, pregnancy-associated plasma-A']"
ERCC8,['IPR017986'],['WD40-repeat-containing domain']
DNAJC3,"['IPR001623', 'IPR013026', 'IPR018704']","['DnaJ domain', 'Tetratricopeptide repeat-containing domain', 'Tetratricopeptide repeat-like domain']"
CACNA1E,"['IPR002048', 'IPR005821', 'IPR014873', 'IPR031649']","['EF-hand domain', 'Ion transport domain', 'Voltage-dependent calcium channel, alpha-1 subunit, IQ domain', 'Voltage-dependent L-type calcium channel, IQ-associated domain']"
POU5F2,"['IPR001356', 'IPR013847']","['Homeobox domain', 'POU domain']"
ETV5,"['IPR000418', 'IPR006715']","['Ets domain', 'PEA3-type ETS-domain transcription factor, N-terminal']"
SNU13,['IPR004038'],['Ribosomal protein L7Ae/L30e/S12e/Gadd45']
RAE1,['IPR017986'],['WD40-repeat-containing domain']
UBL4B,"['IPR000626', 'IPR041421']","['Ubiquitin-like domain', 'Ubl4, C-terminal TUGS domain']"
NPM2,['IPR024057'],['Nucleoplasmin core domain']
RALYL,"['IPR000504', 'IPR034504']","['RNA recognition motif domain', 'RALYL, RNA recognition motif']"
GIMAP2,['IPR006703'],['AIG1-type guanine nucleotide-binding (G) domain']
FAM189A2,,
LRRC10B,,
PCGF5,"['IPR001841', 'IPR032443']","['Zinc finger, RING-type', 'RAWUL domain']"
BASP1,,
LEP,,
NTSR2,,
MBLAC2,,
PDIA5,"['IPR013766', 'IPR041865']","['Thioredoxin domain', 'Protein disulfide-isomerase A5, N-terminal TRX-like b domain']"
CCL18,['IPR001811'],['Chemokine interleukin-8-like domain']
GRIN2B,"['IPR001320', 'IPR001828', 'IPR018884', 'IPR019594']","['Ionotropic glutamate receptor', 'Receptor, ligand binding region', 'Glutamate [NMDA] receptor, epsilon subunit, C-terminal', 'Ionotropic glutamate receptor, L-glutamate and glycine-binding domain']"
CCL23,['IPR001811'],['Chemokine interleukin-8-like domain']
GPS2,,
PAX9,['IPR043182'],['Paired DNA-binding domain']
PRPSAP1,['IPR029099'],"['Ribose-phosphate pyrophosphokinase, N-terminal domain']"
SELENBP1,,
HLA-B,,
HLA-B,,
HLA-B,,
DIRAS3,['IPR005225'],['Small GTP-binding protein domain']
PRSS53,['IPR001254'],"['Serine proteases, trypsin domain']"
HLA-B,['IPR001254'],"['Serine proteases, trypsin domain']"
HLA-C,['IPR001254'],"['Serine proteases, trypsin domain']"
OPRL1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
OPRK1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
OPRD1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CRYM-AS1,,
NME3,['IPR034907'],['Nucleoside diphosphate kinase-like domain']
MAP3K1,"['IPR000719', 'IPR007527']","['Protein kinase domain', 'Zinc finger, SWIM-type']"
SEMA3A,"['IPR001627', 'IPR003599', 'IPR007110', 'IPR016201', 'IPR042820']","['Sema domain', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'PSI domain', 'Semaphorin-3A, sema domain']"
DHX8,"['IPR001650', 'IPR003029', 'IPR007502', 'IPR011709', 'IPR014001', 'IPR022967']","['Helicase, C-terminal', 'S1 domain', 'Helicase-associated domain', 'Domain of unknown function DUF1605', 'Helicase superfamily 1/2, ATP-binding domain', 'RNA-binding domain, S1']"
CHIT1,"['IPR001223', 'IPR002557', 'IPR011583']","['Glycoside hydrolase family 18, catalytic domain', 'Chitin binding domain', 'Chitinase II']"
HMGN2,,
TRIM4,"['IPR000315', 'IPR001841', 'IPR001870', 'IPR003877', 'IPR003879', 'IPR035829']","['B-box-type zinc finger', 'Zinc finger, RING-type', 'B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'TRIM4, PRY/SPRY domain']"
DLL4,"['IPR000742', 'IPR001774', 'IPR001881', 'IPR011651']","['EGF-like domain', 'Delta/Serrate/lag-2 (DSL) protein', 'EGF-like calcium-binding domain', 'Notch ligand, N-terminal domain']"
TRIM6,"['IPR000315', 'IPR001841', 'IPR001870', 'IPR003877', 'IPR003879', 'IPR027370', 'IPR035828']","['B-box-type zinc finger', 'Zinc finger, RING-type', 'B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'RING-type zinc-finger, LisH dimerisation motif', 'TRIM6, PRY/SPRY domain']"
CYP26B1,,
KLHL1,"['IPR000210', 'IPR011705']","['BTB/POZ domain', 'BTB/Kelch-associated']"
CALR3,,
IMPDH1,"['IPR000644', 'IPR001093']","['CBS domain', 'IMP dehydrogenase/GMP reductase']"
LLCFC1,,
PAK6,"['IPR000719', 'IPR033923']","['Protein kinase domain', 'p21 activated kinase binding domain']"
EXOC2,['IPR039481'],"['Exocyst complex component EXOC2/Sec5, N-terminal domain']"
TRIM5,"['IPR000315', 'IPR001841', 'IPR001870', 'IPR003877', 'IPR003879', 'IPR027370']","['B-box-type zinc finger', 'Zinc finger, RING-type', 'B30.2/SPRY domain', 'SPRY domain', 'Butyrophylin-like, SPRY domain', 'RING-type zinc-finger, LisH dimerisation motif']"
ACOD1,,
SRPX2,"['IPR000436', 'IPR003410', 'IPR025232']","['Sushi/SCR/CCP domain', 'HYR domain', 'Domain of unknown function DUF4174']"
SUSD3,['IPR000436'],['Sushi/SCR/CCP domain']
YPEL1,"['IPR004910', 'IPR034751']","['Yippee/Mis18/Cereblon', 'Yippee domain']"
USP50,"['IPR001394', 'IPR028889']","['Peptidase C19, ubiquitin carboxyl-terminal hydrolase', 'Ubiquitin specific protease domain']"
SPATA17,,
USP43,"['IPR001394', 'IPR028889']","['Peptidase C19, ubiquitin carboxyl-terminal hydrolase', 'Ubiquitin specific protease domain']"
USP54,"['IPR001394', 'IPR028889']","['Peptidase C19, ubiquitin carboxyl-terminal hydrolase', 'Ubiquitin specific protease domain']"
